,recall_5,precision_5,FScore_5,MeanDelay_5,recall_10,precision_10,FScore_10,MeanDelay_10,recall_15,precision_15,FScore_15,MeanDelay_15,recall_20,precision_20,FScore_20,MeanDelay_20,recall_25,precision_25,FScore_25,MeanDelay_25,recall_30,precision_30,FScore_30,MeanDelay_30,recall_35,precision_35,FScore_35,MeanDelay_35,recall_40,precision_40,FScore_40,MeanDelay_40,recall_45,precision_45,FScore_45,MeanDelay_45,recall_50,precision_50,FScore_50,MeanDelay_50,recall_55,precision_55,FScore_55,MeanDelay_55
IOR,0.1111111111111111,0.1111111111111111,0.1111111111111111,16.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,16.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,23.5,0.5555555555555556,0.5555555555555556,0.5555555555555556,29.2,0.7777777777777778,0.7777777777777778,0.7777777777777778,32.142857142857146,1.0,1.0,1.0,34.77777777777778,1.0,1.0,1.0,34.77777777777778,1.0,1.0,1.0,34.77777777777778,1.0,1.0,1.0,34.77777777777778,1.0,1.0,1.0,34.77777777777778,1.0,1.0,1.0,34.77777777777778
IRO,0.4444444444444444,0.4444444444444444,0.4444444444444444,17.75,0.5555555555555556,0.5555555555555556,0.5555555555555556,18.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,18.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,18.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,18.6,0.5555555555555556,0.5555555555555556,0.5555555555555556,18.6,0.6666666666666666,0.6666666666666666,0.6666666666666666,23.666666666666668,0.8888888888888888,0.8888888888888888,0.8888888888888888,31.375,1.0,1.0,1.0,34.55555555555556,1.0,1.0,1.0,34.55555555555556,1.0,1.0,1.0,34.55555555555556
OIR,0.5555555555555556,0.5555555555555556,0.5555555555555556,17.8,0.5555555555555556,0.5555555555555556,0.5555555555555556,17.8,0.6666666666666666,0.6666666666666666,0.6666666666666666,19.833333333333332,1.0,1.0,1.0,24.77777777777778,1.0,1.0,1.0,24.77777777777778,1.0,1.0,1.0,24.77777777777778,1.0,1.0,1.0,24.77777777777778,1.0,1.0,1.0,24.77777777777778,1.0,1.0,1.0,24.77777777777778,1.0,1.0,1.0,24.77777777777778,1.0,1.0,1.0,24.77777777777778
ORI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3,0.3157894736842105,30.666666666666668,0.5555555555555556,0.5,0.5263157894736842,32.0,0.5555555555555556,0.5,0.5263157894736842,32.0,0.7777777777777778,0.7,0.7368421052631577,35.285714285714285,0.8888888888888888,0.8,0.8421052631578948,36.875,0.8888888888888888,0.8,0.8421052631578948,36.875,1.0,0.9,0.9473684210526316,29.88888888888889,1.0,0.9,0.9473684210526316,29.88888888888889,1.0,0.9,0.9473684210526316,29.88888888888889
RIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.125,31.0,0.2222222222222222,0.2857142857142857,0.25,33.0,0.2222222222222222,0.2857142857142857,0.25,33.0,0.3333333333333333,0.42857142857142855,0.375,36.333333333333336,0.5555555555555556,0.7142857142857143,0.6250000000000001,41.2,0.7777777777777778,1.0,0.8750000000000001,44.714285714285715,0.7777777777777778,1.0,0.8750000000000001,44.714285714285715,0.7777777777777778,1.0,0.8750000000000001,44.714285714285715,0.7777777777777778,1.0,0.8750000000000001,44.714285714285715
ROI,0.2222222222222222,0.2222222222222222,0.2222222222222222,18.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,19.666666666666668,0.5555555555555556,0.5555555555555556,0.5555555555555556,22.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,26.875,1.0,1.0,1.0,28.11111111111111,1.0,1.0,1.0,28.11111111111111,1.0,1.0,1.0,28.11111111111111,1.0,1.0,1.0,28.11111111111111,1.0,1.0,1.0,28.11111111111111,1.0,1.0,1.0,28.11111111111111,1.0,1.0,1.0,28.11111111111111
cb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.3333333333333333,0.16666666666666666,51.0,0.2222222222222222,0.6666666666666666,0.3333333333333333,52.5,0.3333333333333333,1.0,0.5,55.333333333333336,0.3333333333333333,1.0,0.5,55.333333333333336,0.3333333333333333,1.0,0.5,55.333333333333336
cd,0.3333333333333333,0.3333333333333333,0.3333333333333333,18.666666666666668,0.4444444444444444,0.4444444444444444,0.4444444444444444,19.75,0.4444444444444444,0.4444444444444444,0.4444444444444444,19.75,0.4444444444444444,0.4444444444444444,0.4444444444444444,19.75,0.4444444444444444,0.4444444444444444,0.4444444444444444,19.75,0.4444444444444444,0.4444444444444444,0.4444444444444444,19.75,0.4444444444444444,0.4444444444444444,0.4444444444444444,19.75,0.4444444444444444,0.4444444444444444,0.4444444444444444,19.75,0.4444444444444444,0.4444444444444444,0.4444444444444444,19.75,1.0,1.0,1.0,44.666666666666664,1.0,1.0,1.0,44.666666666666664
cf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,29.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,33.6,0.8888888888888888,0.8888888888888888,0.8888888888888888,36.0,1.0,1.0,1.0,37.111111111111114,1.0,1.0,1.0,37.111111111111114,1.0,1.0,1.0,37.111111111111114,1.0,1.0,1.0,37.111111111111114,1.0,1.0,1.0,37.111111111111114,1.0,1.0,1.0,37.111111111111114
cm,0.5555555555555556,0.5555555555555556,0.5555555555555556,17.4,0.7777777777777778,0.7777777777777778,0.7777777777777778,19.285714285714285,0.7777777777777778,0.7777777777777778,0.7777777777777778,19.285714285714285,0.8888888888888888,0.8888888888888888,0.8888888888888888,21.0,1.0,1.0,1.0,23.22222222222222,1.0,1.0,1.0,23.22222222222222,1.0,1.0,1.0,23.22222222222222,1.0,1.0,1.0,23.22222222222222,1.0,1.0,1.0,23.22222222222222,1.0,1.0,1.0,23.22222222222222,1.0,1.0,1.0,23.22222222222222
