,recall_0.0,precision_0.0,FScore_0.0,MeanDelay_0.0,recall_0.015,precision_0.015,FScore_0.015,MeanDelay_0.015,recall_0.03,precision_0.03,FScore_0.03,MeanDelay_0.03,recall_0.045,precision_0.045,FScore_0.045,MeanDelay_0.045,recall_0.06,precision_0.06,FScore_0.06,MeanDelay_0.06,recall_0.075,precision_0.075,FScore_0.075,MeanDelay_0.075,recall_0.09,precision_0.09,FScore_0.09,MeanDelay_0.09
IOR,0.333333333,0.3,0.315789474,27.66666667,0.555555556,0.185185185,0.277777778,25,0.111111111,0.027777778,0.044444444,19,0.111111111,0.022727273,0.037735849,22,0.111111111,0.022727273,0.037735849,30,0.222222222,0.042553191,0.071428571,24.5,0.333333333,0.063829787,0.107142857,17.66666667
IRO,0.555555556,0.555555556,0.555555556,22.6,0.222222222,0.066666667,0.102564103,22.5,0.444444444,0.117647059,0.186046512,16.25,0.333333333,0.076923077,0.125,20.66666667,0.555555556,0.108695652,0.181818182,24.2,0.555555556,0.108695652,0.181818182,7.6,0.444444444,0.083333333,0.140350877,22.5
OIR,0.777777778,0.777777778,0.777777778,20.42857143,0.444444444,0.153846154,0.228571429,19.5,0.666666667,0.1875,0.292682927,14.5,0.222222222,0.051282051,0.083333333,15,0,0,0,0,0.444444444,0.085106383,0.142857143,15.25,0.111111111,0.02173913,0.036363636,27
ORI,0.111111111,0.111111111,0.111111111,31,0.333333333,0.15,0.206896552,18.33333333,0,0,0,0,0.111111111,0.023809524,0.039215686,28,0.555555556,0.113636364,0.188679245,12.2,0.111111111,0.021276596,0.035714286,12,0.333333333,0.065217391,0.109090909,20
RIO,0,0,0,0,0.111111111,0.047619048,0.066666667,5,0.555555556,0.172413793,0.263157895,10.8,0.333333333,0.071428571,0.117647059,16.33333333,0.444444444,0.086956522,0.145454545,15.25,0.333333333,0.065217391,0.109090909,23.33333333,0.666666667,0.127659574,0.214285714,23.33333333
ROI,0.666666667,0.6,0.631578947,25.33333333,0.111111111,0.038461538,0.057142857,28,0.222222222,0.047619048,0.078431373,28.5,0.333333333,0.069767442,0.115384615,23.66666667,0.333333333,0.066666667,0.111111111,11.33333333,0,0,0,0,0.333333333,0.0625,0.105263158,25
cb,0.111111111,0.166666667,0.133333333,29,0.111111111,0.055555556,0.074074074,29,0.444444444,0.111111111,0.177777778,20.5,0.111111111,0.024390244,0.04,13,0.222222222,0.043478261,0.072727273,20,0.222222222,0.042553191,0.071428571,15.5,0.444444444,0.086956522,0.145454545,25.25
cd,0.444444444,0.444444444,0.444444444,17.25,0.555555556,0.166666667,0.256410256,22.2,0.444444444,0.1,0.163265306,12,0.555555556,0.125,0.204081633,18,0.333333333,0.065217391,0.109090909,19,0.333333333,0.0625,0.105263158,21.33333333,0.333333333,0.0625,0.105263158,23
cf,0.111111111,0.111111111,0.111111111,26,0,0,0,0,0.555555556,0.135135135,0.217391304,21.8,0.333333333,0.073170732,0.12,21.66666667,0.222222222,0.042553191,0.071428571,10.5,0.222222222,0.042553191,0.071428571,26.5,0.111111111,0.021276596,0.035714286,31
cm,0.888888889,0.8,0.842105263,22.75,0.666666667,0.24,0.352941176,21.16666667,0.333333333,0.1,0.153846154,22.66666667,0.888888889,0.2,0.326530612,20.5,0.333333333,0.069767442,0.115384615,20,0.555555556,0.108695652,0.181818182,16.4,0.333333333,0.065217391,0.109090909,16.33333333
